Token 167: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 168: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 169: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 170: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 171: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 172: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 173: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 174: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 175: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 176: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 177: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 178: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 179: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 180: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 181: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 182: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 183: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 184: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 185: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 186: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 187: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 188: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 189: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 190: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 191: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 192: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 193: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 194: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 195: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 196: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 197: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 198: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 199: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 200: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 201: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 202: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 203: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 204: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 205: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 206: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 207: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 208: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 209: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 210: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 211: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 212: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 213: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 214: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 215: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 216: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 217: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 218: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 219: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 220: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 221: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 222: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 223: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 224: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 225: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 226: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 227: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 228: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 229: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 230: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 231: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 232: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 233: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 234: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 235: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 236: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 237: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 238: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 239: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 240: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 241: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 242: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 243: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 244: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 245: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 246: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 247: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 248: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 249: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 250: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 251: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 252: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 253: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 254: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 255: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 256: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 257: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 258: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 259: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 260: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 261: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 262: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 263: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 264: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 265: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 266: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 267: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 268: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 269: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 270: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 271: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
Token 272: Tempo(time=0, qpm=120, mspq=500000, ttype='Tick')
